FMID,MarketName,Имя пользователя,Отзыв о рынке,Рейтинг рынка
1009994,18th Street Farmer's Market,Mila,Это отзыв,4
1021607,4 Veggies & 3 Fruits Farmer’s Market,Борис,Это отзыв,4
1009994,18th Street Farmer's Market,Nikilai,Отзыв,4
1021607,4 Veggies & 3 Fruits Farmer’s Market,Moana,Good,5
1019695,Abita Springs Art & Farmers Market,Ощт,Нет слов,1
1019203,AG Farmers' Market,Егор,Очень грязно,2
1018304,Alamo Heights Farmers Market,Михаил,Нет картошки,4
"1021307","Mt Airy Farmers' Market","Danil","","5"
"1021288","Mt. Pleasant Farmers' Market - Broadway Street","Cono","","5"
"1021571","Mt.Washington Farmer's Market","Spider","","5"
